"","value","message","ci.low","mean","ci.high"
"106",20,"is_probably possible",3.7175,3.7175,5.0325
"107",22,"is_probably possible",6.70133333333333,9.368,7.96533333333333
"108",41,"is_probably possible",3.85657894736842,3.85657894736842,4.03815789473684
"109",42,"is_probably possible",5.24487179487179,7.80897435897436,6.29358974358974
"110",43,"is_probably possible",5.23589743589743,10.3320512820513,7.61666666666667
"111",80,"is_probably possible",0,0,0
"112",82,"is_probably possible",1.22441860465116,1.22441860465116,2.26395348837209
"113",84,"is_probably possible",6.27662337662338,10.1727272727273,6.71038961038961
"114",86,"is_probably possible",4.6264367816092,6.92528735632184,5.7183908045977
"115",88,"is_probably possible",2.41058823529412,2.41058823529412,3.47176470588235
"116",102,"is_probably possible",3.31444444444444,4.42555555555556,4.46333333333333
"117",103,"is_probably possible",5.77638888888889,7.16527777777778,6.72361111111111
"118",105,"is_probably possible",3.60963855421687,4.8144578313253,4.82409638554217
"119",107,"is_probably possible",2.25666666666667,2.25666666666667,3.29888888888889
"120",108,"is_probably possible",1.24457831325301,1.24457831325301,2.36987951807229
"121",20,"is_probably unlikely",4.92625,6.17625,5.07375
"122",22,"is_probably unlikely",2.676,2.676,3.99066666666667
"123",41,"is_probably unlikely",9.41315789473684,23.8868421052632,9.04078947368418
"124",42,"is_probably unlikely",1.28846153846154,1.28846153846154,2.58974358974356
"125",43,"is_probably unlikely",2.61025641025641,2.61025641025641,3.8
"126",80,"is_probably unlikely",4.68809523809524,7.06904761904762,6.02619047619048
"127",82,"is_probably unlikely",8.23604651162791,23.3523255813953,9.20581395348837
"128",84,"is_probably unlikely",1.22857142857143,1.22857142857143,2.66753246753247
"129",86,"is_probably unlikely",4.45862068965517,5.60804597701149,4.7367816091954
"130",88,"is_probably unlikely",2.32941176470588,2.32941176470588,3.55294117647059
"131",102,"is_probably unlikely",7.65777777777778,18.7688888888889,9.00888888888889
"132",103,"is_probably unlikely",6.87361111111111,12.4291666666667,8.40416666666667
"133",105,"is_probably unlikely",3.5566265060241,3.5566265060241,4.87710843373494
"134",107,"is_probably unlikely",2.16222222222222,2.16222222222222,3.39333333333333
"135",108,"is_probably unlikely",1.16506024096386,1.16506024096386,2.44939759036145
"136",20,"might_be likely",3.72625,4.97625,5.02375
"137",22,"might_be likely",5.25733333333333,7.924,6.74266666666667
"138",41,"might_be likely",0,0,0
"139",42,"might_be likely",6.41410256410256,11.5423076923077,7.72051282051279
"140",43,"might_be likely",7.54871794871795,15.2410256410256,7.83589743589743
"141",80,"might_be likely",1.27142857142857,1.27142857142857,3.49047619047619
"142",82,"might_be likely",3.49186046511628,3.49186046511628,4.64767441860465
"143",84,"might_be likely",5.24155844155844,6.54025974025974,6.44675324675325
"144",86,"might_be likely",4.6367816091954,8.05632183908046,5.7367816091954
"145",88,"might_be likely",3.63294117647059,3.63294117647059,4.60235294117647
"146",102,"might_be likely",3.22777777777778,3.22777777777778,3.43888888888889
"147",103,"might_be likely",0,0,0
"148",105,"might_be likely",6.0710843373494,10.8903614457831,7.18192771084337
"149",107,"might_be likely",3.43666666666667,4.54777777777778,4.34111111111111
"150",108,"might_be likely",3.53493975903614,3.53493975903614,4.89879518072289
"151",20,"might_be possible",8.58,21.08,8.92
"152",22,"might_be possible",10.6813333333333,36.0146666666667,10.652
"153",41,"might_be possible",6.54605263157895,13.125,7.92763157894737
"154",42,"might_be possible",10.3012820512821,34.6602564102564,10.2115384615385
"155",43,"might_be possible",7.72179487179487,19.2602564102564,8.94487179487179
"156",80,"might_be possible",0,0,0
"157",82,"might_be possible",4.72441860465116,5.88720930232558,5.7406976744186
"158",84,"might_be possible",10.5168831168831,31.2961038961039,10.2623376623377
"159",86,"might_be possible",2.28505747126437,2.28505747126437,3.46206896551724
"160",88,"might_be possible",2.37176470588235,2.37176470588235,3.51058823529412
"161",102,"might_be possible",0,0,0
"162",103,"might_be possible",5.44305555555556,6.83194444444444,7.05694444444444
"163",105,"might_be possible",8.31686746987952,17.955421686747,8.55060240963855
"164",107,"might_be possible",1.13,1.13,3.31444444444444
"165",108,"might_be possible",3.50963855421687,3.50963855421687,4.92409638554217
"166",20,"might_be unlikely",7.64,12.64,7.36
"167",22,"might_be unlikely",2.67066666666667,2.67066666666667,3.996
"168",41,"might_be unlikely",6.56184210526316,11.7921052631579,7.94473684210526
"169",42,"might_be unlikely",1.28076923076923,1.28076923076923,2.56538461538462
"170",43,"might_be unlikely",0,0,0
