"alpha","alpha_ax","beta","beta_ax","lambda","theta.might","theta.probably","theta.certainly"
5.89410678839207,60.2323901499753,5.92679036143972,44.1496144092365,5.22809186807648,0.214607894223349,0.543625779668873,0.98718453072543
7.36992093611362,78.3766532874872,7.20300176134923,57.033290642596,5.41682857833765,0.221355006051064,0.519871564254397,0.970262134612993
6.46232348159999,51.7067820097664,6.44266234907279,38.405924754475,5.21236667611947,0.221301311319671,0.532589704424292,0.967545294769026
5.55071082057693,56.1282768721516,5.67957270619215,40.6219875855832,5.47314790361096,0.201346711739762,0.523645075986231,0.985854264158529
6.24366288318625,86.0725412800305,6.49105810644578,63.4340298122677,5.44201658212621,0.202696087927771,0.504577265409344,0.967453105112549
6.61771288340999,85.552725189782,6.44076372432587,60.9723178570984,5.22259330015236,0.217166847891077,0.536038235680026,0.968873286330913
6.46332365915045,99.9875342216812,6.31534110260931,72.3656712443193,5.18880111444134,0.218458662698975,0.550072751394714,0.97505501867033
6.00667768814597,76.6094244518157,6.11551917021443,55.4553825163446,5.46457145091182,0.22679798658964,0.523298540013354,0.986659458956203
5.95671173403934,45.0446627661371,5.9009529478402,31.4011045806887,5.13602784117808,0.20555652896813,0.541093991459087,0.985682539669116
7.05323558690284,61.8501100708907,7.27468989049609,45.6265301212493,5.55163366605741,0.221856229549935,0.528940752840199,0.975342813347647
6.87268935308641,59.6257053893355,6.7954725837668,43.5736669298686,5.69995685444913,0.22115072165067,0.535533988053185,0.986467300333817
6.10314001694712,58.572053689111,6.32981207538087,43.2745319200601,5.47844219707234,0.232331212814475,0.524952575686073,0.970016672640146
5.76046006946396,73.9060004947099,5.9110249312398,53.6374036198061,5.27356732709371,0.209225940295451,0.537896308228226,0.970041562137978
5.56735088404953,189.16326952777,5.61617269186232,137.931262523141,5.35166646988152,0.232357307132115,0.529298927659499,0.985774359346977
6.41687646278195,35.2813950776895,6.27859354756288,25.578727713471,5.41255342416421,0.202403989285951,0.500096210401946,0.986325551474795
6.96682680833247,38.0894762247572,6.72940919436647,28.0137226259876,5.57423872626041,0.214144136614437,0.532738792873083,0.980940064156616
6.64186292667988,60.7897108109169,6.71114674035053,43.3922803345372,5.26355893140178,0.207228317428289,0.523895737322055,0.98176813777341
6.12689344719924,43.9848889839962,6.22224418998148,32.8289252931297,5.39064255106689,0.201315466004316,0.531061220752335,0.978041153322926
6.24675917005028,67.9873179253562,6.32143711069798,48.2202101548464,5.40428011417032,0.204053756245514,0.528214328537079,0.97640377405322
6.75006683619108,89.0239744433104,6.9064555089466,64.9552555310732,5.29114092825094,0.203832648969268,0.526044418114309,0.981421557673325
6.77453774678252,38.6611069175594,6.83529855241484,28.8080766030563,5.38883900693801,0.205075481615267,0.536923224248266,0.987679610720502
6.42042697361037,52.743937765894,6.4835940395993,38.6794334461638,5.23038005395196,0.212509397031212,0.529856564923616,0.971942110369833
6.14749122541855,44.6653148611456,6.16040718112798,32.4867764332248,5.35401471717056,0.220203611785025,0.535699381368211,0.97584610739885
5.84313930601263,43.8414096325836,5.8948936180907,32.3707551013138,5.57558269328063,0.215965869749091,0.532786967856108,0.968282648891913
6.10470935929983,74.3517840973054,6.16389894257517,53.6630673571881,5.42485310964444,0.218414812883595,0.543310459685018,0.978601496513787
6.34574670202753,183.821581413291,6.4112844264953,135.796200556705,5.41247065782218,0.216910264383266,0.533557533119524,0.97497695910241
6.63816665005748,101.055900747902,6.67355437945198,73.9831501867257,5.49146195939116,0.231135323144232,0.522401311755739,0.97318204797437
6.84006090114372,39.3987368919243,6.81160293809585,29.1468851981762,5.39708576762184,0.223231290280494,0.53448064099299,0.984383147488336
6.2855530528996,44.7921815340437,6.19430525222148,32.628788235971,5.28317725298274,0.218534298533217,0.538719700052213,0.974534623996806
6.14301446158357,60.1127676583264,6.13090253832262,43.7848392535698,5.54132487873629,0.213903275962889,0.532758564001703,0.974935136155605
6.53138563804025,115.006025725609,6.57627987349702,84.3586153299709,5.48226129918356,0.203521998217903,0.546973402249231,0.982274830499137
6.42121970371775,36.3105776955973,6.52626881940295,26.6698062394226,5.39228651478202,0.202522091392936,0.541104818863827,0.970065211007663
5.4215979869851,34.0727063500382,5.48107211043894,24.9065066537986,5.58638618134891,0.206741605219902,0.522237676045386,0.984677561719011
6.33932973662527,71.2614867569704,6.62017619198165,52.6531769934899,5.56033792814795,0.205014518525003,0.500245741670934,0.984152359849403
6.20862633501941,49.507391005539,6.00832905962556,35.495780148602,5.37203267085388,0.215003750862875,0.518536672003665,0.97647203255388
5.85372211920175,58.7645399308742,5.84412774585852,42.131675420184,5.40156203305373,0.214212172459787,0.529626297567063,0.986267767465446
6.9168285964291,101.073236517879,6.80812629782031,72.9456313137672,5.56473225509229,0.215216337016189,0.534563271736951,0.972784251636382
6.40012700371669,54.4273583405009,6.55705579586999,39.6688115426256,5.37574545025384,0.210600621217431,0.528118566973054,0.980120942155274
6.46018735702029,34.5348626338771,6.41841370000003,24.4960977557605,5.34249006318249,0.201923351783882,0.524367586866556,0.977206735967571
5.66241308855946,29.3594602609882,5.52224566641967,20.4553433957301,5.28119860637408,0.21261610217914,0.54040492193343,0.984640813314068
6.25161471145484,67.0666000807237,6.03850757620072,47.9490242825556,5.41111699221257,0.218912944559982,0.535345263813039,0.987496957340858
6.09099282473199,40.1590224858281,6.29822487499842,30.3042113630089,5.62584229138926,0.21000574529565,0.507280672742777,0.997859046392876
6.72058392452927,70.8612063912352,6.73932290005575,51.3383695341843,5.20578140944319,0.205407925427214,0.529933533108036,0.977495536447919
6.51569290975881,33.944393116119,6.59867452635427,24.4783838961034,5.4118167124974,0.20522410939433,0.531648547337624,0.964547135023368
6.18975476371157,51.7276835878269,6.15572203106119,37.8286244072034,5.41831703003304,0.208264718125896,0.524269950989618,0.973973061889351
6.88408419196381,71.039631978859,6.80981150925373,51.9416947470486,5.41000250312878,0.232436684070131,0.541222229434967,0.994222524679751
7.12116044279113,75.868811051229,7.27121943366593,55.5081684632843,5.39389446374246,0.207682641639727,0.527977415226403,0.981596891770963
5.9484834807503,37.4622821279884,6.02341842466772,27.0710236019674,5.25625809207747,0.232593530120684,0.533536124622927,0.976037130912628
6.51871119319222,58.42861168449,6.30372510029215,43.7378925860101,5.56370317757351,0.214213560067922,0.527782645222084,0.975679049740912
5.93953198343615,44.1276132836192,5.89683742748474,31.69657054859,5.62816773224254,0.219561923262505,0.526356138382405,0.979150462149691
6.91402322038548,99.2630800997572,7.02571816016246,72.1711319630933,5.53014462396997,0.215039668600793,0.526349288260919,0.978911433597195
6.60231754287969,58.0420025379999,6.62917623295406,42.5999366364075,5.16336683364533,0.219217995573217,0.52516326608229,0.979406978132468
6.3046964680422,53.5032710283385,6.39779238382005,38.1388121081515,5.55995464439306,0.208543190700194,0.532901441821281,0.982725685586254
6.88946943483023,105.503696309135,6.88166780315769,76.1950058068006,5.71492991560416,0.204111322333386,0.52641249940321,0.981622833509228
