"alpha","alpha_ax","beta","beta_ax","lambda","theta.possibly","theta.probably","theta.certainly"
3.11427144037658,13.2763244166493,2.97529922756381,8.50650180462416,5.01616757097093,0.276422539753385,0.560402518053821,0.96574546429901
3.36086462673202,10.7313707838682,3.25651970286871,6.94333977812292,5.17191612169297,0.202397061623715,0.577644541239635,0.910885628825079
3.35817465011154,8.28841199050072,3.00376036357892,5.42117622221823,5.0462302978527,0.24981585456835,0.50174559741643,0.988256730228152
3.24491670387762,8.11148806473337,2.97116891875354,5.24838199207503,4.9316656099608,0.228215040836296,0.589789786775795,0.910105176469626
2.95615198071979,13.0524715283724,2.85116837652842,8.41771724985179,4.8633728025129,0.262996474147082,0.528664822772458,0.966476444751683
2.99999334098185,8.86101020711263,2.84682172589971,5.3352275342707,4.71738455350281,0.236104920076312,0.508897240444717,0.980724819825462
3.44339920638569,11.4629867647601,3.19677961454169,7.68470601140297,5.08766115781433,0.259913132589893,0.589625876656283,0.92927662446314
3.13625103845862,11.9151984805943,2.8977354634379,7.87749478198055,4.94664404957849,0.241098481516109,0.578746131013256,0.902399947134049
3.2244152962717,10.2653817045472,2.86077173369572,6.63334168260504,4.79347513125086,0.263630855788715,0.573079800214516,0.91892294086201
3.25991195999257,12.1744435077192,2.98934636866149,7.90537478910005,4.66146010929634,0.290362773555438,0.582142715665406,0.980081850579695
3.19531161251748,8.77722954291933,2.99047071921463,5.79081411352936,4.85334437995256,0.259542511058321,0.581901581222198,0.950688311033112
3.21093393106826,11.7535484594554,3.09885170626492,7.62487294477432,4.73109001329174,0.231301100905959,0.575737909869318,0.978183165478246
2.95094043665472,7.85612093683029,2.90137787153306,5.05170842220984,4.70077809854499,0.264393379688176,0.570748336027968,0.982217740379034
3.25336902366431,9.34455254897995,2.9983096843138,6.1980958334499,4.84020588850014,0.257405122567294,0.562649163981724,0.919243591984674
3.16089822692853,12.5780659535389,3.06267421017667,7.94676693858853,4.89015047595768,0.241752918791257,0.505567809136239,0.957831425948208
3.05663970845984,7.8949425467518,2.91490375688561,5.29745073620565,4.92315323688169,0.22655521764433,0.565666215788446,0.955920138459821
3.5351157780858,9.76341412130343,3.39214028682385,6.16460051535516,4.86874217296245,0.262117584393326,0.539552402437638,0.918119047276499
3.15699619177612,11.493651187236,2.92837827327734,7.38218127430207,4.95697683542487,0.154856051095688,0.522158352233628,0.910103799269703
3.14534421871082,8.32606594026104,3.0256345611636,5.29107372854238,4.74115471546379,0.294106265826286,0.556858199878854,0.979224066810262
3.27820061663192,10.1063549947604,3.06278993483782,6.8397811151566,5.16440308705618,0.284107075172525,0.548004801998434,0.934427431119791
2.98440853563663,10.1079122277436,2.83756386596617,6.88043420406844,5.01970617360033,0.222299691219455,0.514663842063234,0.925639508143858
2.93988576091952,9.88888162046988,2.7702184490295,6.45622622398583,4.74648670991134,0.229829329162722,0.51325024943368,0.965465281891122
3.12565104026594,9.91400027062337,2.92200250638943,6.31052387505004,5.09627532793446,0.222364960833193,0.571815939713578,0.939800610370249
3.20799661081574,11.5887236598397,2.88628748678191,7.5680616921745,4.82152791431417,0.204330777866596,0.553947983353132,0.949239951142505
3.4875749451009,9.22802964898643,3.21995736914949,6.15024729967149,4.65135986475026,0.277256302740055,0.55914863084717,0.99514738170981
3.08902807928563,12.7830441541532,2.89779267871602,8.37757378268671,4.67966723676206,0.226197318702921,0.535530655809926,0.991890205412255
3.33704122698407,12.1843978517486,3.14243537675225,8.02542252734527,5.07383454984975,0.281776132333987,0.578658069369921,0.93886383411552
3.26125105124662,9.42899347027613,3.12123879021117,6.34534802514801,4.83532059769572,0.28378061587677,0.552287699729416,0.984172694124787
2.8888715948452,8.78754561916127,2.74257516406283,5.97722029695295,4.56569063553615,0.284033065162198,0.540744667559811,0.906271525405435
3.09522219613645,18.8687643908072,3.00125525968051,12.3611157923083,4.78996962482445,0.257855881386354,0.513414275035048,0.944735483278934
2.69400408550369,11.0731516786069,2.56412683526035,6.99973877559811,4.57577857020971,0.297163990480626,0.501626813837824,0.91833308545141
3.4593048412967,9.21358602950971,3.27448752428581,5.88615324290567,4.90554438623276,0.224278477940431,0.554998798914498,0.928478554217812
3.43493265922433,8.1275968182223,3.2200125886416,5.39709873587154,4.82974710531262,0.244921259928304,0.555848549213554,0.922774200891918
3.21345599733476,9.59917685987469,3.00281684973567,5.96444618413669,4.91202780612628,0.244626199477906,0.589199427845148,0.984293049155902
3.6963437636001,8.16177869714689,3.41873661012482,5.33130111378979,4.99743306591423,0.290972568822285,0.587435921292318,0.967730719525995
3.52544372365011,9.51362585679185,3.33354298825338,6.59130717490441,5.03441495468006,0.291765667121284,0.594467253265093,0.976660636044484
3.26207521116823,12.9859639975741,2.91991421425822,8.43952163458929,4.76282304327511,0.277017964323805,0.519599697720374,0.963543046209873
